,DateValue,Num_Pes_Designate,PesAdmitted
0,1/1/2018,6,1
1,1/2/2018,12,0
2,1/3/2018,14,1
3,1/4/2018,13,3
4,1/5/2018,17,2
5,1/6/2018,16,4
6,1/7/2018,15,2
7,1/8/2018,11,3
8,1/9/2018,17,6
9,1/10/2018,20,6
10,1/11/2018,17,6
11,1/12/2018,13,3
12,1/13/2018,12,3
13,1/14/2018,10,1
14,1/15/2018,12,1
15,1/16/2018,21,4
16,1/17/2018,14,2
17,1/18/2018,17,5
18,1/19/2018,15,5
19,1/20/2018,15,2
20,1/21/2018,14,5
21,1/22/2018,18,5
22,1/23/2018,16,3
23,1/24/2018,18,1
24,1/25/2018,17,2
25,1/26/2018,19,6
26,1/27/2018,10,3
27,1/28/2018,12,1
28,1/29/2018,18,3
29,1/30/2018,18,1
30,1/31/2018,17,1
31,2/1/2018,17,2
32,2/2/2018,14,2
33,2/3/2018,11,2
34,2/4/2018,15,0
35,2/5/2018,23,4
36,2/6/2018,19,2
37,2/7/2018,19,0
38,2/8/2018,19,4
39,2/9/2018,17,4
40,2/10/2018,11,1
41,2/11/2018,18,2
42,2/12/2018,17,2
43,2/13/2018,16,4
44,2/14/2018,19,4
45,2/15/2018,14,1
46,2/16/2018,19,7
47,2/17/2018,11,3
48,2/18/2018,13,2
49,2/19/2018,25,5
50,2/20/2018,11,3
51,2/21/2018,11,2
52,2/22/2018,16,3
53,2/23/2018,13,5
54,2/24/2018,17,2
55,2/25/2018,14,2
56,2/26/2018,11,0
57,2/27/2018,22,3
58,2/28/2018,15,1
59,3/1/2018,18,1
60,3/2/2018,20,2
61,3/3/2018,14,2
62,3/4/2018,16,2
63,3/5/2018,17,3
64,3/6/2018,12,2
65,3/7/2018,13,3
66,3/8/2018,11,2
67,3/9/2018,18,5
68,3/10/2018,13,3
69,3/11/2018,14,3
70,3/12/2018,14,1
71,3/13/2018,22,2
72,3/14/2018,14,3
73,3/15/2018,17,3
74,3/16/2018,19,3
75,3/17/2018,15,1
76,3/18/2018,16,2
77,3/19/2018,11,0
78,3/20/2018,20,4
79,3/21/2018,22,3
80,3/22/2018,19,4
81,3/23/2018,15,4
82,3/24/2018,10,2
83,3/25/2018,13,2
84,3/26/2018,4,0
85,3/27/2018,9,2
86,3/28/2018,17,2
87,3/29/2018,11,2
88,3/30/2018,18,4
89,3/31/2018,12,3
90,4/1/2018,11,0
91,4/2/2018,12,1
92,4/3/2018,19,3
93,4/4/2018,15,2
94,4/5/2018,20,5
95,4/6/2018,14,2
96,4/7/2018,14,1
97,4/8/2018,16,2
98,4/9/2018,12,3
